datetime,alpha_rad,psi_rad,muN,muE,muS,muW,uN,uE,uS,uW,I_N,I_E,I_S,I_W
2014-06-18 13:00:00,1.1853114280731383,3.1990573066085473,0.0,0.0,0.36718177055710377,0.08099343429903363,0.0,0.6726906076474566,0.0,0.5097412958555368,222.0500012396856,222.0500012396856,222.0500012396856,234.6243863268696
2014-06-18 14:00:00,1.1219529073083503,2.6189377345393723,0.0,0.1540838395099113,0.40564521191437997,0.0,0.0,0.6329773690477145,0.0,0.450257023945861,192.18500100170033,217.5812499891012,192.18500100170033,192.18500100170033
2014-06-18 15:00:00,0.9519070810139563,2.2805343514005934,0.0,0.3743594244924361,0.4431780083623591,0.0,0.0,0.5676999737404625,0.0,0.35248161028223746,166.10000089299248,241.72660773924525,166.10000089299248,166.10000089299248
2014-06-18 16:00:00,0.7385647460721813,2.1126865420179186,0.0,0.5648219035545973,0.4772223618489891,0.0,0.0,0.4650271790961791,0.0,0.19869368842822577,115.5500007237068,239.8106546673095,115.5500007237068,115.5500007237068
2014-06-18 17:00:00,0.5082974170697664,2.0281787192207545,0.0,0.7124915735024364,0.5054582059451115,0.0,0.0,0.3022172575676445,0.0,0.0,71.61000038253093,153.10275118438523,71.61000038253093,71.61000038253093
2014-06-18 18:00:00,0.2709276747367769,1.9885870905495793,0.0,0.8073049903646776,0.5259613145375129,0.0,0.40928191184456664,0.04559813094701182,0.3567890342485931,0.0,27.130000110760864,32.6130877318865,55.081544439715564,27.130000110760864
2014-06-18 19:00:00,0.030965512224746583,1.9787351851768342,0.0,0.8428007764687373,0.537334434658612,0.0,0.9331084994599044,0.0,0.9271643318096017,0.0,0.3000000006170271,0.3000000006170271,0.3000000006170271,0.3000000006170271
2014-06-18 20:00:00,-0.20868696815631815,1.9944208815381508,0.0,0.816559952651186,0.5388025069671226,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-18 21:00:00,-0.4451068553331732,2.0391342312225085,0.0,0.7303707876901758,0.5302654847613271,0.0,1.0,0.22891326903667086,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-18 22:00:00,-0.6737909111407577,2.126097122930993,0.0,0.5901069307434711,0.512305151996453,0.0,1.0,0.403597006282543,1.0,0.10668081735685386,0.0,0.0,0.0,0.0
