datetime_local,T_out_2040_C,T_air_with_cooling_C,T_air_no_cooling_C,P_cool_el_kW
2014-06-22 02:00:00,31.03,26.0,34.02935917965212,6.387538557398631
2014-06-22 03:00:00,30.9,26.0,33.99779211791536,6.224308426796999
2014-06-22 04:00:00,30.84,26.0,33.96394553068358,6.12078404946041
2014-06-22 05:00:00,30.82,26.0,33.93136017651014,6.051931114890562
2014-06-22 06:00:00,30.61,26.0,33.901529161532835,5.826049503684961
2014-06-22 07:00:00,30.53,26.0,33.86531068965196,5.709773266092835
2014-06-22 08:00:00,30.11,26.0,33.82975731127816,6.723856665165759
2014-06-22 09:00:00,30.19,26.0,33.855645899079896,7.207620122240621
2014-06-22 10:00:00,30.13,26.0,33.90223095377008,7.475354335244468
2014-06-22 11:00:00,30.29,26.0,33.95391762945919,7.940639020303276
2014-06-22 12:00:00,30.48,26.0,34.020560328019464,8.165118932647387
2014-06-22 13:00:00,30.67,26.0,34.086435253507325,8.555997760689555
2014-06-22 14:00:00,30.81,26.0,34.16092493229218,9.192959261850172
2014-06-22 15:00:00,30.85,26.0,34.25587616012378,8.946650021666136
2014-06-22 16:00:00,30.98,26.0,34.31986687331716,8.63529412913825
2014-06-22 17:00:00,30.96,26.0,34.3557565282606,7.939517701589325
2014-06-22 18:00:00,30.94,26.0,34.348476328870696,7.300499807191604
2014-06-22 19:00:00,30.75,26.0,34.30960892985195,6.7109365201897795
2014-06-22 20:00:00,30.56,26.0,34.24791957998895,6.479417484238506
2014-06-22 21:00:00,30.37,26.0,34.18701131341062,6.254098713799216
2014-06-22 22:00:00,30.32,26.0,34.126803955952035,6.147121245954238
2014-06-22 23:00:00,30.32,26.0,34.073298079406754,6.083443214805378
2014-06-23 00:00:00,30.31,26.0,34.027280841250985,6.0130238011019115
2014-06-23 01:00:00,30.33,26.0,33.986714935150154,5.969156539407696
2014-06-23 02:00:00,30.31,26.0,33.9517915874451,5.89346929258917
2014-06-23 03:00:00,30.24,26.0,33.91953757193311,5.77759089360777
2014-06-23 04:00:00,30.32,26.0,33.88713242429789,5.788151121267574
2014-06-23 05:00:00,30.31,26.0,33.86131692937399,5.725114009902547
2014-06-23 06:00:00,30.59,26.0,33.83671781935602,5.905111159654979
2014-06-23 07:00:00,30.62,26.0,33.82613528199645,5.878108380663607
2014-06-23 08:00:00,30.67,26.0,33.81557834530921,7.465882854858641
2014-06-23 09:00:00,30.81,26.0,33.89221480042135,7.9339120083371535
2014-06-23 10:00:00,30.9,26.0,33.97855122591224,8.343331853781393
2014-06-23 11:00:00,30.99,26.0,34.06983434900991,8.92223210899237
2014-06-23 12:00:00,31.01,26.0,34.17458342668093,9.139028909803487
2014-06-23 13:00:00,31.0,26.0,34.27096118421264,9.062327894577018
2014-06-23 14:00:00,30.92,26.0,34.345135262938356,8.76627659942137
2014-06-23 15:00:00,30.94,26.0,34.38993358573145,8.639427565222338
2014-06-23 16:00:00,31.05,26.0,34.42047262590173,8.482657769178157
2014-06-23 17:00:00,30.99,26.0,34.43805206017726,8.16748593658476
2014-06-23 18:00:00,31.54,26.0,34.43672329623639,7.871504818586999
2014-06-23 19:00:00,31.54,26.0,34.42123717743731,7.424722779922423
2014-06-23 20:00:00,31.54,26.0,34.38616699248298,7.349478350617183
2014-06-23 21:00:00,31.52,26.0,34.35529853296439,7.264491391851756
2014-06-23 22:00:00,31.49,26.0,34.32711919667335,7.1728791070554605
2014-06-23 23:00:00,31.45,26.0,34.30059960351675,7.07459879604574
2014-06-24 00:00:00,31.38,26.0,34.274922561758345,6.952942159477928
2014-06-24 01:00:00,31.2,26.0,34.24853754463283,6.741201938824317
2014-06-24 02:00:00,30.93,26.0,34.216600443392956,6.456005223687042
2014-06-24 03:00:00,30.69,26.0,34.17610989968814,6.197313426428202
