date_local,T_out_baseline_C,T_out_2040_C
2001-05-05,27.068749999999998,28.44185502978549
2001-05-06,27.31833333333333,28.53659157059916
2001-05-07,27.08791666666667,28.426185780631265
2001-05-08,27.455416666666665,28.879878026141636
2001-05-09,28.142916666666665,29.848522849832566
2001-05-10,28.8275,30.719895121974773
2001-05-11,28.344583333333333,30.33004880866331
2001-05-12,28.495,30.48529995027584
2001-05-13,29.14625,30.807508892064163
2001-05-14,28.877916666666668,30.545968260803754
2001-05-15,28.66416666666667,30.02299282946988
2001-05-16,28.375833333333333,29.556642112355878
2001-05-17,29.1575,30.200365982186543
2001-05-18,28.006249999999998,28.820756310397996
2001-05-19,28.751666666666665,29.887159470331962
2001-05-20,28.724166666666665,29.973092370514266
2001-05-21,27.600416666666664,28.958666888189654
2001-05-22,27.794166666666666,29.060474188561066
2001-05-23,28.805000000000003,30.028884534074418
2001-05-24,27.33666666666667,28.40089970166707
2001-05-25,28.545833333333334,29.634045600132332
2001-05-26,27.407916666666665,28.957197200046306
2001-05-27,28.029583333333335,29.741988215347668
2001-05-28,27.893333333333334,29.701009548617968
2001-05-29,27.47875,29.096030060628642
2001-05-30,27.629166666666666,28.79350177432975
2001-05-31,27.702916666666667,28.31503815952422
2001-06-01,27.594166666666666,28.044049023716084
2001-06-02,27.750833333333333,28.644597001906092
2001-06-03,27.946250000000003,29.02659988977719
2001-06-04,27.43875,28.60035612273926
2001-06-05,27.329583333333332,28.478378987872468
2001-06-06,27.73125,29.071795388479227
2001-06-07,28.6375,30.119985656302156
2001-06-08,28.826666666666668,30.306896333738994
2001-06-09,29.060833333333335,30.383506493268168
2001-06-10,28.727083333333336,29.93418303670297
2001-06-11,28.738333333333333,30.031519463051644
2001-06-12,28.09375,29.469600668843615
2001-06-13,28.027083333333334,29.466864876466392
2001-06-14,27.629583333333333,28.956668042245056
2001-06-15,28.922916666666666,30.282227599892217
2001-06-16,28.592916666666667,29.925344424872517
2001-06-17,29.172916666666666,30.509574966436357
2001-06-18,27.847916666666666,29.027782212228733
2001-06-19,29.015,30.30663590770406
2001-06-20,29.214583333333334,30.860831612588786
2001-06-21,29.616666666666664,31.431540912084298
2001-06-22,29.16208333333333,31.021701333454317
2001-06-23,29.39125,31.10534974798855
2001-06-24,28.61791666666667,30.509987475963253
2001-06-25,28.20958333333333,30.20091742582193
2001-06-26,28.635833333333334,30.781793990327913
2001-06-27,27.981666666666666,29.82069199323962
2001-06-28,28.266666666666666,29.856118266597004
2001-06-29,28.024583333333336,29.871360998238536
2001-06-30,27.28625,29.384212639860102
